event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:hdop,gps:satellite-count,height-above-ellipsoid,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
32050676947,true,2022-09-06 12:00:09.000,9.87921,46.83657,36.0,1.4,7,1798.74,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676984,true,2022-09-06 12:15:02.000,9.87952,46.83532,35.5,1.1,8,1877.1,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677106,true,2022-09-06 12:30:08.000,9.8811,46.83215,35.5,1.6,6,2019.95,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679794,true,2022-09-06 12:45:09.000,9.90775,46.79915,36.5,2.1,5,2007.24,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676775,true,2022-09-06 13:00:04.000,9.87606,46.81461,36.0,1.1,8,2162.33,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676649,true,2022-09-06 13:30:09.000,9.8735,46.81933,31.5,2.7,6,2091.88,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679628,true,2022-09-06 13:45:06.000,9.90749,46.79946,35.5,2.2,7,2102.6,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680198,true,2022-09-06 14:00:09.000,9.90872,46.79963,37.0,2.4,5,2220.47,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678753,true,2022-09-07 09:00:03.000,9.90536,46.80068,30.0,1.2,7,2101.85,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676759,true,2022-09-07 09:15:03.000,9.87582,46.81503,32.5,1.3,7,2180.54,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677397,true,2022-09-07 09:30:06.000,9.88589,46.83404,36.0,3.9,4,2180.94,"4:4","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679409,true,2022-09-07 09:45:07.000,9.9073,46.79938,32.5,1.3,6,2076.99,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678660,true,2022-09-07 10:00:02.000,9.90506,46.80059,34.5,2.8,7,2114.32,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677097,true,2022-09-07 10:15:04.000,9.88095,46.83225,33.5,3.5,6,2033.02,"6:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677643,true,2022-09-07 10:30:03.000,9.8932,46.80924,30.0,1.2,8,2076.41,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676718,true,2022-09-07 10:45:03.000,9.875,46.81651,31.5,2.6,7,2184.97,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677122,true,2022-09-07 11:00:02.000,9.88139,46.83088,35.5,2.3,7,2111.57,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679475,true,2022-09-07 11:15:08.000,9.90735,46.7995,33.5,2.9,5,2113.01,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679921,true,2022-09-07 11:30:09.000,9.90809,46.79973,36.5,1.9,6,2103.94,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679502,true,2022-09-07 11:45:03.000,9.90737,46.79935,36.0,1.1,7,2100.27,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679808,true,2022-09-07 12:00:04.000,9.90779,46.79919,36.0,1.3,7,2107.42,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679637,true,2022-09-07 12:15:09.000,9.9075,46.79913,38.0,2.1,5,2106.65,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679328,true,2022-09-07 12:30:08.000,9.90723,46.79938,37.0,1.7,6,2106.68,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679294,true,2022-09-07 12:45:07.000,9.90717,46.79935,36.5,1.8,6,2093.73,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679172,true,2022-09-07 13:00:08.000,9.90688,46.79957,36.5,1.4,6,2071.28,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679524,true,2022-09-07 13:15:03.000,9.90739,46.79936,37.0,1.1,7,2107.6,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679659,true,2022-09-07 13:30:07.000,9.90753,46.79932,37.5,2.6,7,2086.95,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
